Date,Log_Return,ATR,Bollinger_High,Bollinger_Low,RSI,MACD,MACD_Signal,Stoch_K,Stoch_D,SMA_10,SMA_50,EMA_10,EMA_50,On_Balance_Volume,Actual_Target,Predicted_Target,Prediction_Probability,Adj_Close,Daily_Return,Strategy_Return,Cumulative_Strategy_Return,Cumulative_Buy_Hold_Return
2023-06-07,-0.007786619256139284,2.9639630733820987,178.68442464360575,166.9362708519997,61.473272439733854,2.9547650165639823,2.8659369643576653,50.589185811162324,58.042356027460926,174.7955062866211,167.04916290283202,175.07538085001238,167.01863866288127,18206004700,1,0,0.39,175.361572265625,-0.0077563820691393115,-0.0,-0.044859957954033636,0.1250062772288556
2023-06-08,0.015346682737571364,2.9903414093763736,179.39857330809866,166.93707274903022,66.7832746017324,3.010832607667112,2.894916093019555,69.64670207532642,60.243921517523425,175.65643768310548,167.50552032470702,175.6205020342431,167.4521644942695,18256219600,1,0,0.4,178.07354736328125,0.015465047801626275,0.0,-0.044859957954033636,0.14240455308332955
2023-06-09,0.0021574403374671784,2.8936762062713206,180.09520285424304,166.97514016333508,67.46805043268878,3.0511288894781217,2.926158652311268,72.34933692689089,64.19507493779315,176.44241790771486,167.90811706542968,176.13643714467187,167.88377157847862,18305119600,1,0,0.36,178.45814514160156,0.002159769286427027,0.0,-0.044859957954033636,0.14487188334975332
2023-06-12,0.01551772887706012,2.893376942117316,181.26228839586366,166.91454265882385,71.98189680551764,3.270562299675248,2.995039381784064,91.96121233339136,77.98575044520283,177.26685791015626,168.33521423339843,177.06599551449716,168.40789850397792,18359394500,0,0,0.29,181.24900817871094,0.01563875403330517,0.0,-0.044859957954033636,0.16277625313310695
2023-06-13,-0.0026149773755039284,2.8071607430859635,182.07987066740935,167.20541833405548,70.20274582161136,3.367452150191724,3.0695219354655965,88.6349502532334,84.31516650450516,177.85954895019532,168.70281555175782,177.74048092698916,168.89290896590833,18304465400,1,0,0.23,180.77566528320312,-0.002611561300468468,-0.0,-0.044859957954033636,0.15973959166932072
2023-06-14,0.003485343428901801,2.773594203021894,182.85647210774994,167.60039129557038,71.22408519963102,3.45533678755109,3.1466849058826956,92.4588040536521,91.01832221342556,178.5202865600586,169.05802673339844,178.4070898191701,169.38365096073483,18361928300,1,0,0.26,181.40682983398438,0.0034914243009005475,0.0,-0.044859957954033636,0.1637887346623914
2023-06-15,0.011136397393462744,2.7684891834359706,183.95300016807943,167.81744966102212,74.279902354354,3.6468729451215154,3.2467225137304596,96.19679667528615,92.43018366072384,179.1041015625,169.4645034790039,179.32186243993885,169.93481520672162,18427361500,0,0,0.27,183.43833923339844,0.011198637897333885,0.0,-0.044859957954033636,0.17682158329087194
2023-06-16,-0.005877167231089616,2.762339676604236,184.76329366744238,167.98051126419824,70.04150090401787,3.6696272071869487,3.331303452421758,80.13428876835235,89.59662983243015,179.49561004638673,169.8863137817383,179.87486987273405,170.4222108190193,18326105300,1,0,0.24,182.3634033203125,-0.005859930468069874,-0.0,-0.044859957954033636,0.1699254906394636
2023-06-20,0.0004866877448831992,2.684075248218332,185.47300192717267,168.24218819733903,70.19276933102529,3.6527173240322384,3.3955862267438546,80.64529319363142,85.65879287908992,180.0311065673828,170.2921728515625,180.34347152406934,170.89397427533535,18375904400,0,0,0.25,182.45217895507812,0.00048680619657925916,0.0,-0.044859957954033636,0.17049501761784303
2023-06-21,-0.005691413752899287,2.6909998788968563,185.8431474233814,168.83455490816155,66.00638578944682,3.5152415203696705,3.419517285469018,69.8810700614121,76.88688400779857,180.49954071044922,170.72912384033202,180.53860716138342,171.3066308735299,18326388700,1,0,0.28,181.41671752929688,-0.005675248340203165,-0.0,-0.044859957954033636,0.16385216771189137
2023-06-22,0.01638985595836061,2.7368766210846758,186.269080442863,169.93127050928544,71.33656638735447,3.606621087179917,3.456938045811198,99.48609197042407,83.33748507515581,181.40484466552735,171.2502584838867,181.24333528047848,171.82066934187802,18377634000,0,0,0.31,184.41461181640625,0.01652490645811211,0.0,-0.044859957954033636,0.18308471591440134
2023-06-23,-0.0017126480284791591,2.7210102863559107,186.37317713616395,171.2906549561212,70.09071836620382,3.611940232647811,3.487938483178521,91.4061780671258,86.92444669965396,182.00739440917968,171.7788690185547,181.76255519308324,172.3021742617967,18324517000,0,0,0.24,184.0990447998047,-0.0017111822837321267,-0.0,-0.044859957954033636,0.18106024230837425
2023-06-26,-0.007581433374840426,2.725296682166578,186.13454779304718,172.74030877433566,64.72673690354426,3.46402628330344,3.483156043203505,74.09137529240584,88.32788177665185,182.43243865966798,172.17212982177733,181.93456109370163,172.71026890433347,18276428300,1,0,0.31,182.70858764648438,-0.007552766799156063,-0.0,-0.044859957954033636,0.17213996972246437
2023-06-27,0.014946630657352128,2.750406058032445,186.56235244372678,173.55804092785527,69.67258868179901,3.528147189832225,3.492154272529249,97.01894785399116,87.50550040450754,182.8535354614258,172.62731170654297,182.57554565780842,173.21025742558663,18327159100,1,0,0.27,185.45997619628906,0.015058890144387993,0.0,-0.044859957954033636,0.18979109676036132
